review_id,user_id,business_id,stars,useful,funny,cool,text,date
6XmBJDoKRmQRLy02R7Bzdw,4BSKXV3QMeDQKqoOthvZng,-Or44IdY51Ukd618kikmtA,4.0,2,0,1,"I'm actually not sure why I waited so long to review this place. I've had countless fancies here and they were and are always fresh and delicious. The staff is friendly, the place is clean and they're always coming out with new fun flavors as well as bringing back oldies.",2019-08-26 21:53:53
V9ItGdw8d8uL8Bhd1U392w,aJZa5qlMScqtke6Yyown6g,BVv3JFBNRQW3pX9cTZizkQ,5.0,0,0,0,"I love their Boiled Seafood it is very good and well seasoned. Their service is fast and quick and I love their staff, they are so nice.",2020-08-06 13:24:36
oHivFTYyh8hGn5XVBlK3Lg,EMDdiuAVKrtBOqtKEapHaQ,tS-Rx0-eoxcuzSk9jUbO0w,4.0,0,0,0,"I am not really sure why this place gets such terrible reviews!  I have always had a good experience here and I have tried lots of dry cleaners in South Tampa!  The clothes have always been returned in pristine condition and actually look like they have been dry cleaned.  I cannot say that for other dry cleaners.  I have never had a broken button or zipper or any sort of damage [knocks on wood].  The clothes have always come back on time, although admittedly, I am never in a rush to get the clothes back.  They are always available when I pick them up several days later, although they do apparently have next day service.  Next, I can usually find a coupon for the dry cleaning, either online or in a local advertisement.  They have recently started offering ""coins"" where you occasionally get 20% once you have spent over a certain amount.  Next, the service has always been fabulous.  There's a clerk there by the name of Ms. Monica who is always super friendly and goes out of her way to assist me.  I am a fan of Quality Plus Cleaners.  I did deduct a point because, like one of the other reviewers indicated, the location is quite odd on the corner of two very busy streets and the parking is super limited and you are required to park in an odd diagonal manner.  It is hard getting out of the parking space too if someone else comes in and parks in front or behind you.  And, recently, it has been hotter than hades in the actual store, literally I would say close to 100 degrees.  It is honestly cooler OUTSIDE the store.  I assume the air is not working and I feel a little sorry for the clerks.  But, I am in and out, so these things are only mildly annoying.  I would recommend these folks.  I do not think you would be disappointed.",2017-09-06 22:38:15
P9iAX73HnR5SykxMXuEg9w,M4_GblxPdGg4-HP6xjlpEg,c4WjOzTvpMvAxmUspHfhOQ,4.0,2,0,2,"This is one of my favorite Italian restaurants to go to for pasta in Edmonton. 

I have tried several of the pasta dishes and the standout is ""Fettuccini con Pollo"" always mouth-wateringly delicious. I like that they take reservations for any night of the week for any time that you want (it is hard to find a place that will do that on a Friday or Saturday night anymore). 

The portion sizes are huge; I normally cannot finish a meal but I can usually get 3 meals out of my one pasta dish. I think the drinks are overpriced (even for the restaurant standard) and the bread they bring after ordering tastes store bought. The servers are hit and miss but I understand there is high turnaround with the service industry.

The scrumptious pasta dishes will keep me coming back for more every time.",2011-08-02 13:17:49
A7zj16qswG1yChpjDHI_UQ,H54JH1U2w8FAXmwcBCNKzw,XnGTrxEafWd-eVWjYzJe9A,4.0,0,0,0,"3-4-1 happy hour is worthy it. 
Jazz bands are good 
Small place with backyard patio. 
Laid back so don't expect much but nice attitude and strong drinks",2015-09-27 20:34:54
hIfnuxK0BLWOmQqnt4fnWg,RWyQW-L5jGFnb3Tq3MqcYw,st179iwe95QY_GxUXrzG3Q,5.0,0,0,0,"Beef brisket sandwich was excellent with spicy sauce and potato salad. Tender, moist, quality meat. It's piled with so much meat that there's no way you could pick it up and eat it like a sandwich. Yeah, that's my worst criticism. And no wifi.",2015-03-31 23:30:36
qNV1LbD60LDIzHEm8yfI2A,vB2BkZSFpvA83cB9hk9h7A,6m95YldCeXeCYLKVc0igsA,5.0,0,0,1,"Best concert venue that I have ever been to.! Great place, great music and awesome people!  I have fun whenever I go to The Rock, especially when Head P.E. came to town, the best concerts in Tucson happen at the Rock.  http://rocktucson.com/

But it's not always rock n roll or metal live music, they have all genres including rap artist, again local artists and touring artists and their entourage.  Seriously the best music venue in Tucson for an intimate close up live show from your favorite bands or groups.

Sound techs are great at what they do too and  I love being so close to the band's when they play, I really get into the music.  Thanks for being such a kick ass place to let out some steam or pent up energy.  I always have fun there and have seen many awesome local bands play and great touring ones, as mentioned before.  And most of the bands are there afterwards to meet the fans and selling merch of course, to fun their tours and whatnot.

https://www.facebook.com/rocktucson/events

https://twitter.com/TheRockinTucson

https://foursquare.com/v/the-rock/4b0586d1f964a520cd6f22e3

The Rock in Tucson also has a beer garden outside in a nice patio area with grilled good available which delicious.  My favorite is the grilled chicken breast sandwich, minus the bun!  It' so juicy and flavorful. They have grilled food to order available inside too, where the all ages

The best things to do in Tucson happen at The Rock so here is a link to buy tickets for upcoming events.http://www.songkick.com/venues/2415-rock",2015-10-21 00:24:03
N4uQGYsCBHAj8NiaFWtZVw,Biru7NC3F-T4zUSPSemZ2Q,scotX4dcVT8Co0Nyy1pDYA,4.0,1,0,1,"Surprisingly good for the burbs. unique items on the menu and extensive beer selection.  I would definitely come back here on a weeknight when I don't want to cook but don't want to eat bad food either.  DH had the mac and cheese with sausage and something else-it was so good, and I had the california burger which was cooked to perfection.  If you like fries-I would say they have amazing fries, fresh and hot-so delis.",2014-09-25 22:12:28
rEDqRDaersE_5qAkAJxPiA,4mugg6GdeSrlOmF1PcYw0g,XZb7V2jnPGL9am82PN6LjA,4.0,0,0,0,"I like this place way more than other similar chains. In both quality of product and service. The staff are very friendly and always have smile on their face which doubles the joy of having ice cream. Unlike some other places in which staff are like zombies, only to weigh your ice cream shot a number and discharge your account and hand you crap! Keep it up Tutti Frutti, stay unique!",2017-06-04 19:04:19
tKLKONQKuC4sqFvo_VOb6w,_mfVg2apfsD8BIpgCMoIig,_ab50qdWOk0DdB6XOrBitw,4.0,0,0,0,"The char-grilled oysters where delicious, drenched in butter, Cajun seasoning and served up on french bread. So good I had to come back again the next day! I also tried some of the New Orleans sampler not very impressed with the gumbo or jambalaya, red beans and rice were pretty good but def. go and have some oysters and abita.",2010-08-19 00:56:07
